recipe_id,title,description,ingredients,cooking_time,servings,meal_type,category,dietary_preference,meal_goal,difficulty_level,cuisine_type,steps,calories,protein,carbs,fats,rating,allergens,health_benefits,image_url
16,Chicken Curry,Traditional Nepali chicken curry,"Chicken; Onions; Tomatoes; Curry spices; Garlic; Ginger; Oil",45,4,Dinner,Traditional,Non-Veg,Balanced Diet,Intermediate,Nepali,"Saute onions until golden; Add ginger-garlic paste; Add chicken and brown; Add tomatoes and spices; Simmer until chicken is tender; Garnish with cilantro",290,30,8,15,4.6,None,Comfort food,/images/chicken_curry.jpg
17,Aloo Gobi,Potato and cauliflower curry,"Potatoes; Cauliflower; Tomatoes; Turmeric; Cumin; Coriander; Ginger",30,4,Lunch,Traditional,Veg,Weight Loss,Beginner,Indian,"Cut vegetables into florets; Saute cumin and spices; Add potatoes and cauliflower; Cook with tomatoes; Simmer until tender",180,5,28,6,4.4,None,Low calorie vegetarian,/images/aloo_gobi.jpg
18,Fish Curry,Spicy fish in tomato gravy,"Fish fillets; Tomatoes; Onions; Turmeric; Chili; Mustard seeds; Curry leaves",35,4,Dinner,Traditional,Non-Veg,Balanced Diet,Intermediate,Indian,"Marinate fish with turmeric; Saute mustard seeds and curry leaves; Add onions and tomatoes; Add fish and simmer gently; Cook until fish is done",220,25,8,10,4.7,"Fish",Omega-3 rich,/images/fish_curry.jpg
19,Chole Bhature,Chickpea curry with fried bread,"Chickpeas; Flour; Yogurt; Tomatoes; Spices; Oil",60,4,Lunch,Traditional,Veg,Balanced Diet,Intermediate,Indian,"Soak chickpeas overnight; Pressure cook with spices; Make dough with yogurt; Roll and deep fry bhature; Serve hot together",420,15,55,15,4.8,"Gluten; Milk",Hearty meal,/images/chole_bhature.jpg
20,Chicken Fried Rice,Quick fried rice with chicken,"Cooked rice; Chicken; Eggs; Peas; Carrots; Soy sauce; Spring onions",20,2,Lunch,Fast Food,Non-Veg,Balanced Diet,Beginner,Chinese,"Scramble eggs and set aside; Stir-fry chicken pieces; Add vegetables; Toss in cold rice; Add soy sauce and eggs; Mix well",320,22,42,8,4.5,"Eggs; Soy",One pot meal,/images/chicken_fried_rice.jpg
21,Paneer Butter Masala,Creamy tomato curry with paneer,"Paneer; Butter; Cream; Tomatoes; Cashews; Spices",40,4,Dinner,Traditional,Veg,Muscle Gain,Intermediate,Indian,"Puree tomatoes and cashews; Saute in butter with spices; Add cream and simmer; Add paneer cubes; Cook for 5 mins; Garnish with cream",340,18,15,24,4.9,"Milk; Nuts",Rich and creamy,/images/paneer_butter_masala.jpg
22,Egg Curry,Hard boiled eggs in spicy gravy,"Eggs; Onions; Tomatoes; Curry spices; Coconut milk",30,4,Lunch,Traditional,Non-Veg,Muscle Gain,Beginner,Indian,"Boil eggs and peel; Make onion-tomato gravy; Add curry spices; Add coconut milk; Add eggs and simmer; Serve with rice or roti",250,15,10,18,4.4,"Eggs; Milk",Protein rich,/images/egg_curry.jpg
23,Kwati,Nine bean soup festival dish,"Mixed sprouted beans; Turmeric; Cumin; Ginger; Garlic; Fried garlic",60,6,Dinner,Traditional,Veg,Muscle Gain,Intermediate,Nepali,"Soak 9 types of beans overnight; Sprout for 2 days; Pressure cook with spices; Temper with fried garlic and cumin; Simmer until thick",280,18,45,5,4.6,None,Protein packed,/images/kwati.jpg
24,Chana Masala,Spicy chickpea curry,"Chickpeas; Onions; Tomatoes; Garam masala; Amchur; Ginger; Garlic",40,4,Lunch,Traditional,Veg,Muscle Gain,Intermediate,Indian,"Soak and boil chickpeas; Saute onions and spices; Add tomatoes and cook; Add chickpeas and simmer; Finish with amchur powder; Garnish with cilantro",260,14,40,6,4.7,None,High fiber protein,/images/chana_masala.jpg
25,Gundruk ko Jhol,Fermented greens soup,"Dried gundruk; Tomatoes; Onions; Garlic; Chili; Soy chunks",25,4,Lunch,Soup,Veg,Weight Loss,Beginner,Nepali,"Soak gundruk and rinse well; Boil with water; Saute tomatoes and onions; Add to gundruk water; Simmer for 15 mins; Add soy chunks if desired",80,4,15,1,4.3,Soy (optional),Probiotic rich,/images/gundruk.jpg
26,Vegetable Pulao,Mildly spiced rice with vegetables,"Basmati rice; Mixed vegetables; Whole spices; Ghee; Mint",35,4,Lunch,Traditional,Veg,Balanced Diet,Beginner,Indian,"Saute whole spices in ghee; Add vegetables and cook; Add washed rice; Add water and cook; Garnish with mint and fried onions",280,8,55,5,4.5,Milk (ghee),Light and aromatic,/images/veg_pulao.jpg
27,Rajma,Red kidney bean curry,"Red kidney beans; Onions; Tomatoes; Ginger; Garlic; Spices",50,4,Dinner,Traditional,Veg,Muscle Gain,Intermediate,Indian,"Soak beans overnight; Pressure cook until soft; Make onion-tomato masala; Add beans and simmer; Mash some beans for thickness; Serve with rice",280,16,45,4,4.7,None,High protein vegan,/images/rajma.jpg
28,Choyla,Spicy grilled buffalo meat,"Buffalo or chicken; Mustard oil; Fenugreek; Turmeric; Chili; Ginger",30,4,Snack,Traditional,Non-Veg,Muscle Gain,Intermediate,Nepali,"Grill meat until charred; Shred cooked meat; Marinate with mustard oil and spices; Let sit for 30 mins; Garnish with onions and cilantro",220,24,3,12,4.8,None,High protein snack,/images/choyla.jpg
29,Mixed Vegetable Curry,Simple mixed vegetable curry,"Potatoes; Carrots; Beans; Peas; Tomatoes; Spices",30,4,Lunch,Traditional,Veg,Weight Loss,Beginner,Indian,"Cut all vegetables; Saute with spices; Add tomatoes and cook; Add water and simmer; Cook until vegetables tender; Garnish with cilantro",150,6,25,4,4.4,None,Nutritious and light,/images/mixed_veg_curry.jpg
30,Aloo Paratha,Stuffed potato flatbread,"Whole wheat flour; Potatoes; Spices; Ghee or butter",40,4,Breakfast,Traditional,Veg,Balanced Diet,Intermediate,Indian,"Make dough and rest; Boil and mash potatoes with spices; Roll dough and fill with potato; Seal and roll again; Cook on griddle with ghee",280,8,42,10,4.8,"Gluten; Milk",Filling breakfast,/images/aloo_paratha.jpg
